datetime_beginning_ept,load_area,mw,year,black_friday
2016-11-01 03:00:00,DPLCO,1484.339,2016,2016-11-25
2016-11-01 03:00:00,EASTON,20.966,2016,2016-11-25
2016-11-01 03:00:00,JC,1813.712,2016,2016-11-25
2016-11-01 03:00:00,ME,1404.759,2016,2016-11-25
2016-11-01 03:00:00,PE,3166.17,2016,2016-11-25
2016-11-01 03:00:00,PEPCO,2035.93,2016,2016-11-25
2016-11-01 03:00:00,SMECO,269.616,2016,2016-11-25
2016-11-01 03:00:00,PLCO,3640.512,2016,2016-11-25
2016-11-01 03:00:00,UGI,97.151,2016,2016-11-25
2016-11-01 03:00:00,PN,1638.521,2016,2016-11-25
2016-11-01 03:00:00,PS,3651.311,2016,2016-11-25
2016-11-01 03:00:00,RECO,112.9,2016,2016-11-25
2016-11-01 03:00:00,AEPAPT,3228.723,2016,2016-11-25
2016-11-01 03:00:00,AEPIMP,2550.349,2016,2016-11-25
2016-11-01 03:00:00,AEPKPT,487.277,2016,2016-11-25
2016-11-01 03:00:00,AEPOPT,4747.793,2016,2016-11-25
2016-11-01 03:00:00,AP,4350.335,2016,2016-11-25
2016-11-01 03:00:00,OE,5722.909,2016,2016-11-25
2016-11-01 03:00:00,PAPWR,463.506,2016,2016-11-25
2016-11-01 03:00:00,CE,8197.603,2016,2016-11-25
2016-11-01 03:00:00,DAY,1465.0,2016,2016-11-25
2016-11-01 03:00:00,DEOK,2195.765,2016,2016-11-25
2016-11-01 03:00:00,DUQ,1185.964,2016,2016-11-25
2016-11-01 03:00:00,RTO,65871.201,2016,2016-11-25
2016-11-01 03:00:00,DOM,7665.119,2016,2016-11-25
2016-11-01 03:00:00,EKPC,927.61,2016,2016-11-25
2016-11-01 04:00:00,AE,827.407,2016,2016-11-25
2016-11-01 04:00:00,BC,2644.426,2016,2016-11-25
2016-11-01 04:00:00,DPLCO,1543.378,2016,2016-11-25
2016-11-01 04:00:00,EASTON,21.621,2016,2016-11-25
2016-11-01 04:00:00,JC,1870.49,2016,2016-11-25
2016-11-01 04:00:00,ME,1458.0,2016,2016-11-25
2016-11-01 04:00:00,PE,3275.007,2016,2016-11-25
2016-11-01 04:00:00,PEPCO,2129.065,2016,2016-11-25
2016-11-01 04:00:00,SMECO,291.079,2016,2016-11-25
2016-11-01 04:00:00,PLCO,3776.723,2016,2016-11-25
2016-11-01 04:00:00,UGI,100.429,2016,2016-11-25
2016-11-01 04:00:00,PN,1694.151,2016,2016-11-25
2016-11-01 04:00:00,PS,3726.682,2016,2016-11-25
2016-11-01 04:00:00,RECO,115.554,2016,2016-11-25
2016-11-01 04:00:00,AEPAPT,3313.437,2016,2016-11-25
2016-11-01 04:00:00,AEPIMP,2631.352,2016,2016-11-25
2016-11-01 04:00:00,AEPKPT,495.377,2016,2016-11-25
2016-11-01 04:00:00,AEPOPT,4796.79,2016,2016-11-25
2016-11-01 04:00:00,AP,4544.218,2016,2016-11-25
2016-11-01 04:00:00,OE,5814.552,2016,2016-11-25
2016-11-01 04:00:00,PAPWR,463.773,2016,2016-11-25
2016-11-01 04:00:00,CE,8159.425,2016,2016-11-25
2016-11-01 04:00:00,DAY,1509.0,2016,2016-11-25
2016-11-01 04:00:00,DEOK,2241.796,2016,2016-11-25
2016-11-01 04:00:00,DUQ,1198.459,2016,2016-11-25
2016-11-01 04:00:00,RTO,67363.21,2016,2016-11-25
2016-11-01 04:00:00,DOM,7772.659,2016,2016-11-25
2016-11-01 04:00:00,EKPC,948.36,2016,2016-11-25
2016-11-01 05:00:00,AE,894.562,2016,2016-11-25
2016-11-01 05:00:00,BC,2873.089,2016,2016-11-25
2016-11-01 05:00:00,DPLCO,1701.809,2016,2016-11-25
2016-11-01 05:00:00,EASTON,23.675,2016,2016-11-25
2016-11-01 05:00:00,JC,2052.193,2016,2016-11-25
2016-11-01 05:00:00,ME,1606.255,2016,2016-11-25
2016-11-01 05:00:00,PE,3589.595,2016,2016-11-25
2016-11-01 05:00:00,PEPCO,2316.948,2016,2016-11-25
2016-11-01 05:00:00,SMECO,329.452,2016,2016-11-25
2016-11-01 05:00:00,PLCO,4158.612,2016,2016-11-25
2016-11-01 05:00:00,UGI,110.022,2016,2016-11-25
2016-11-01 05:00:00,PN,1805.633,2016,2016-11-25
2016-11-01 05:00:00,PS,3986.519,2016,2016-11-25
2016-11-01 05:00:00,RECO,124.567,2016,2016-11-25
2016-11-01 05:00:00,AEPAPT,3479.178,2016,2016-11-25
2016-11-01 05:00:00,AEPIMP,2744.78,2016,2016-11-25
2016-11-01 05:00:00,AEPKPT,516.901,2016,2016-11-25
2016-11-01 05:00:00,AEPOPT,5110.592,2016,2016-11-25
2016-11-01 05:00:00,AP,4808.707,2016,2016-11-25
2016-11-01 05:00:00,OE,6156.672,2016,2016-11-25
2016-11-01 05:00:00,PAPWR,496.727,2016,2016-11-25
