test_year,train_years,load_area,n_predictions,mse,rmse,mae,mape,avg_actual,avg_predicted
2020,2016-2017-2018-2019,AECO,240,6373.674473224073,79.83529591116998,64.18518333333333,7.635666362860567,892.7679458333333,941.032823611111
2020,2016-2017-2018-2019,AEPAPT,240,379006.44865596824,615.6349962891716,526.3079645833333,13.03098394071932,4218.378616666667,4503.59163125
2020,2016-2017-2018-2019,AEPIMP,240,34884.565937892454,186.77410403450597,157.82463854166664,5.675130509361266,2871.430083333333,3025.5563052083335
2020,2016-2017-2018-2019,AEPKPT,240,16233.717311576564,127.41160587472619,115.25050833333334,19.628865824385315,617.8089458333333,727.1457625
2020,2016-2017-2018-2019,AEPOPT,240,198493.87696555338,445.5265165683782,402.17356979166664,7.176120934355683,5790.142158333334,6185.156832291667
2020,2016-2017-2018-2019,AP,240,383405.62479542976,619.1975652370007,546.1161666666667,11.23259244592411,5178.057950000001,5645.03895
2020,2016-2017-2018-2019,BC,240,167574.88825143935,409.3591189303584,347.8133760416667,11.828769874973078,3121.6278749999997,3389.6182552083337
2020,2016-2017-2018-2019,CE,240,936958.0686226577,967.9659439374185,908.3554979166666,9.596960400806068,9534.564066666668,10442.919564583335
2020,2016-2017-2018-2019,DAY,240,28156.544270833332,167.79911880231472,152.725,8.800792251063209,1807.8458333333333,1957.69375
2020,2016-2017-2018-2019,DEOK,240,56808.81921464348,238.3460073394213,211.32443437499995,8.344471835754748,2657.4221791666664,2862.482590625
2020,2016-2017-2018-2019,DOM,240,1173259.316320011,1083.1709543373156,837.305578125,7.962580257493664,10811.242170833335,10894.489634374999
2020,2016-2017-2018-2019,DPLCO,240,73630.9521657474,271.35023892701366,217.5815895833333,12.55454047641667,1851.1102208333332,1974.9261125
2020,2016-2017-2018-2019,DUQ,240,19498.676590246356,139.63766179024324,128.561625,9.877953463556006,1340.0989416666669,1468.6605666666667
2020,2016-2017-2018-2019,EASTON,240,23.15141026953125,4.811591240902666,3.821748958333333,15.831503845487276,26.393587500000002,28.797046874999996
2020,2016-2017-2018-2019,EKPC,240,31480.863606473955,177.42847462139204,146.5244875,10.857101285196615,1422.7535916666666,1517.1396979166666
2020,2016-2017-2018-2019,JC,240,35129.05649386615,187.4274699553567,158.01290416666671,7.498712249589643,2227.129025,2342.517966666667
2020,2016-2017-2018-2019,ME,240,23081.145033905468,151.92480058866448,131.561821875,8.59759521611917,1653.7486416666666,1736.6409239583331
2020,2016-2017-2018-2019,OE,240,249377.4931096177,499.3771051115757,459.06609166666664,7.399694363744562,6342.776220833333,6801.076356250001
2020,2016-2017-2018-2019,OVEC,240,162.70833333333334,12.755717672217951,10.508333333333333,33.02826423310721,33.90416666666667,43.44583333333333
2020,2016-2017-2018-2019,PAPWR,240,5809.317384667188,76.21887813834043,66.2924,13.84180800363761,500.66692083333334,566.4970895833334
2020,2016-2017-2018-2019,PE,240,213204.69639269452,461.7409407803195,407.9696489583333,10.847247480968617,3964.271045833333,4307.5884552083335
2020,2016-2017-2018-2019,PEPCO,240,135206.27324475703,367.70405660633804,334.858928125,14.275281648559899,2445.9649750000003,2763.8675072916667
2020,2016-2017-2018-2019,PLCO,240,191454.24789438254,437.554851297963,363.95779479166663,8.961305736687875,4352.516483333334,4565.817805208334
2020,2016-2017-2018-2019,PN,240,30463.559649967712,174.53813236644797,158.30530000000002,8.876527198762624,1877.2640041666668,2026.8024
2020,2016-2017-2018-2019,PS,240,97424.03376544191,312.1282328874495,271.736090625,6.542524334166229,4311.1590750000005,4548.593765625
2020,2016-2017-2018-2019,RECO,240,101.16569782135417,10.058116017493244,8.948566666666666,6.501004740064145,141.17181666666667,149.31836875
2020,2016-2017-2018-2019,RTO,240,51382155.02188855,7168.134696131801,6343.603655208333,8.285083741998424,80535.64784166667,85976.806803125
2020,2016-2017-2018-2019,SMECO,240,5985.771994517448,77.36777103237141,60.06942812500001,18.50819911977156,360.3654125,402.68354270833333
2020,2016-2017-2018-2019,UGI,240,227.1174302106771,15.070415727864878,12.593009375000001,11.446716391950892,117.38527500000001,124.76328645833334
2020,2016-2017-2018-2019,VMEU,240,24.24737901157408,4.924162772652228,4.104515277777778,6.536984824447783,65.6806125,68.48620277777779
