load_area,feature,importance,importance_norm
AECO,day_of_week,0.00992446020245552,0.009924460590656237
AECO,month,0.09245889633893967,0.09245889995552022
AECO,day_of_month,0.005331702996045351,0.005331703204597844
AECO,is_blackfriday,0.0,0.0
AECO,is_thanksgiving,0.011824611574411392,0.011824612036937573
AECO,days_from_bf,0.05774034187197685,0.057740344130522064
AECO,peak_hour_lag_2d,0.14069290459156036,0.14069291009484067
AECO,peak_hour_lag_3d,0.27821487188339233,0.27821488276592
AECO,peak_hour_lag_4d,0.04329749569296837,0.043297497386573715
AECO,peak_hour_lag_5d,0.03923024609684944,0.039230247631362083
AECO,peak_hour_lag_6d,0.09377972036600113,0.09377972403424643
AECO,peak_hour_lag_7d,0.10231313109397888,0.10231313509601324
AECO,peak_hour_lag_8d,0.038877155631780624,0.03887715715248194
AECO,peak_hour_lag_9d,0.01942923478782177,0.01942923554780697
AECO,peak_hour_bf_lag_1yr,0.023769225925207138,0.023769226854953474
AECO,peak_hour_bf_lag_2yr,0.027483537793159485,0.027483538868193172
AECO,peak_hour_bf_lag_3yr,0.009828472509980202,0.009828472894426307
AECO,peak_hour_bf_lag_4yr,0.0058039515279233456,0.0058039517549481
AEPAPT,day_of_week,0.07589224725961685,0.07589224584601362
AEPAPT,month,0.10357608646154404,0.10357608453228913
AEPAPT,day_of_month,0.016073603183031082,0.0160736028836369
AEPAPT,is_blackfriday,0.0,0.0
AEPAPT,is_thanksgiving,0.0,0.0
AEPAPT,days_from_bf,0.11104964464902878,0.111049642580568
AEPAPT,peak_hour_lag_2d,0.1254166215658188,0.12541661922975222
AEPAPT,peak_hour_lag_3d,0.06390942633152008,0.06390942514111428
AEPAPT,peak_hour_lag_4d,0.030483676120638847,0.030483675552836143
AEPAPT,peak_hour_lag_5d,0.08523803949356079,0.08523803790587861
AEPAPT,peak_hour_lag_6d,0.05555092170834541,0.055550920673628885
AEPAPT,peak_hour_lag_7d,0.12420337647199631,0.12420337415852818
AEPAPT,peak_hour_lag_8d,0.0745319277048111,0.07453192631654579
AEPAPT,peak_hour_lag_9d,0.04208739101886749,0.04208739023492876
AEPAPT,peak_hour_bf_lag_1yr,0.02002386935055256,0.020023868977578935
AEPAPT,peak_hour_bf_lag_2yr,0.027546865865588188,0.027546865352487838
AEPAPT,peak_hour_bf_lag_3yr,0.022915281355381012,0.022915280928550642
AEPAPT,peak_hour_bf_lag_4yr,0.02150104008615017,0.021501039685662096
AEPIMP,day_of_week,0.12870095670223236,0.1287009466338162
AEPIMP,month,0.10108205676078796,0.10108204885302847
AEPIMP,day_of_month,0.03452854976058006,0.03452854705937397
AEPIMP,is_blackfriday,0.0,0.0
AEPIMP,is_thanksgiving,0.0,0.0
AEPIMP,days_from_bf,0.10666349530220032,0.1066634869577988
AEPIMP,peak_hour_lag_2d,0.06150031089782715,0.06150030608659078
AEPIMP,peak_hour_lag_3d,0.04822946712374687,0.048229463350703085
AEPIMP,peak_hour_lag_4d,0.053685735911130905,0.05368573171123726
AEPIMP,peak_hour_lag_5d,0.04839228838682175,0.048392284601040274
AEPIMP,peak_hour_lag_6d,0.06342995166778564,0.06342994670559138
AEPIMP,peak_hour_lag_7d,0.09462273120880127,0.09462272380636186
AEPIMP,peak_hour_lag_8d,0.049922797828912735,0.04992279392339784
