datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,RFC,MIDATL,BC,BC,3117.523,True
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,RFC,MIDATL,CNCT,AE,1017.566,True
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,RFC,MIDATL,CNCT,DPL,1745.034,True
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,RFC,MIDATL,GPU,JC,2171.400,True
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,RFC,MIDATL,GPU,ME,1377.857,True
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,RFC,MIDATL,GPU,PN,1652.904,True
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,RFC,MIDATL,PE,PE,3797.910,True
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,RFC,MIDATL,PEP,PEP,2857.118,True
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,RFC,MIDATL,PL,PLCO,3615.272,True
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,RFC,MIDATL,PL,UGI,102.503,True
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,RFC,MIDATL,PS,PS,4148.766,True
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,RFC,MIDATL,RECO,RECO,145.941,True
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,RFC,WEST,AEP,AEP,13808.564,True
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,RFC,WEST,AP,AP,4542.336,True
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,RFC,WEST,ATSI,OE,5807.599,True
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,RFC,WEST,ATSI,PAPWR,419.600,True
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,RFC,WEST,CE,CE,9903.598,True
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,RFC,WEST,DAY,DAY,1605.000,True
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,RFC,WEST,DEOK,DEOK,2533.000,True
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,RFC,WEST,DUQ,DUQ,1453.608,True
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,RTO,RTO,RTO,RTO,74833.099,True
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,SERC,SOUTH,DOM,DOM,9010.000,True
1/1/2012 6:00:00 AM,1/1/2012 1:00:00 AM,RFC,MIDATL,BC,BC,3044.761,True
1/1/2012 6:00:00 AM,1/1/2012 1:00:00 AM,RFC,MIDATL,CNCT,AE,964.300,True
1/1/2012 6:00:00 AM,1/1/2012 1:00:00 AM,RFC,MIDATL,CNCT,DPL,1705.552,True
1/1/2012 6:00:00 AM,1/1/2012 1:00:00 AM,RFC,MIDATL,GPU,JC,2021.506,True
1/1/2012 6:00:00 AM,1/1/2012 1:00:00 AM,RFC,MIDATL,GPU,ME,1322.466,True
1/1/2012 6:00:00 AM,1/1/2012 1:00:00 AM,RFC,MIDATL,GPU,PN,1564.099,True
1/1/2012 6:00:00 AM,1/1/2012 1:00:00 AM,RFC,MIDATL,PE,PE,3645.334,True
