datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,RFC,MIDATL,DPL,DPL,2437.433,True
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,RFC,MIDATL,PEP,PEP,3561.818,True
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,RFC,WEST,AEP,AEP,16176.032,True
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,RFC,MIDATL,AE,AE,1180.082,True
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,RFC,MIDATL,BC,BC,3940.727,True
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,RFC,MIDATL,JC,JC,2592.112,True
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,RFC,MIDATL,ME,ME,1719.785,True
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,RFC,MIDATL,PE,PE,4541.839,True
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,RFC,MIDATL,PL,PLCO,4786.148,True
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,RFC,MIDATL,PL,UGI,136.495,True
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,RFC,MIDATL,PN,PN,1953.603,True
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,RFC,MIDATL,PS,PS,4652.973,True
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,RFC,MIDATL,RECO,RECO,157.621,True
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,RFC,WEST,AP,AP,6183.941,True
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,RFC,WEST,ATSI,OE,6902.966,True
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,RFC,WEST,ATSI,PAPWR,512.232,True
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,RFC,WEST,CE,CE,11340.541,True
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,RFC,WEST,DAY,DAY,1950.000,True
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,RFC,WEST,DEOK,DEOK,3150.000,True
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,RFC,WEST,DUQ,DUQ,1560.388,True
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,RTO,RTO,RTO,RTO,94001.713,True
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,SERC,SOUTH,DOM,DOM,12571.309,True
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,SERC,WEST,EKPC,EKPC,1993.668,True
1/1/2015 6:00:00 AM,1/1/2015 1:00:00 AM,RFC,MIDATL,DPL,DPL,2399.937,True
