datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,RFC,MIDATL,BC,BC,3445.661,True
1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,RFC,MIDATL,CNCT,AE,1101.399,True
1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,RFC,MIDATL,CNCT,DPL,1994.403,True
1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,RFC,MIDATL,GPU,JC,2378.230,True
1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,RFC,MIDATL,GPU,ME,1512.874,True
1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,RFC,MIDATL,GPU,PN,1814.876,True
1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,RFC,MIDATL,PE,PE,4182.262,True
1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,RFC,MIDATL,PEP,PEP,3129.459,True
1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,RFC,MIDATL,PL,PLCO,4094.694,True
1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,RFC,MIDATL,PL,UGI,119.244,True
1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,RFC,MIDATL,PS,PS,4459.913,True
1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,RFC,MIDATL,RECO,RECO,155.481,True
1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,RFC,WEST,AEP,AEP,14326.882,True
1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,RFC,WEST,AP,AP,5310.855,True
1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,RFC,WEST,ATSI,OE,6197.908,True
1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,RFC,WEST,ATSI,PAPWR,469.300,True
1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,RFC,WEST,CE,CE,10582.496,True
1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,RFC,WEST,DAY,DAY,1723.000,True
1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,RFC,WEST,DEOK,DEOK,2775.000,True
1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,RFC,WEST,DUQ,DUQ,1512.525,True
1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,RTO,RTO,RTO,RTO,81308.462,True
1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,SERC,SOUTH,DOM,DOM,10022.000,True
1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,RFC,MIDATL,BC,BC,3342.673,True
1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,RFC,MIDATL,CNCT,AE,1042.894,True
1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,RFC,MIDATL,CNCT,DPL,1929.866,True
1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,RFC,MIDATL,GPU,JC,2200.966,True
1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,RFC,MIDATL,GPU,ME,1443.406,True
1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,RFC,MIDATL,GPU,PN,1740.815,True
1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,RFC,MIDATL,PE,PE,3984.142,True
1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,RFC,MIDATL,PEP,PEP,3099.733,True
1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,RFC,MIDATL,PL,PLCO,3952.721,True
1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,RFC,MIDATL,PL,UGI,112.169,True
1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,RFC,MIDATL,PS,PS,4259.591,True
1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,RFC,MIDATL,RECO,RECO,143.880,True
1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,RFC,WEST,AEP,AEP,14190.497,True
1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,RFC,WEST,AP,AP,5161.100,True
1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,RFC,WEST,ATSI,OE,5927.846,True
1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,RFC,WEST,ATSI,PAPWR,446.899,True
1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,RFC,WEST,CE,CE,10176.921,True
1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,RFC,WEST,DAY,DAY,1674.000,True
1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,RFC,WEST,DEOK,DEOK,2682.000,True
1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,RFC,WEST,DUQ,DUQ,1447.990,True
1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,RTO,RTO,RTO,RTO,78675.109,True
1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,SERC,SOUTH,DOM,DOM,9715.000,True
1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,RFC,MIDATL,BC,BC,3248.780,True
1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,RFC,MIDATL,CNCT,AE,995.945,True
1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,RFC,MIDATL,CNCT,DPL,1878.642,True
1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,RFC,MIDATL,GPU,JC,2075.877,True
1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,RFC,MIDATL,GPU,ME,1390.714,True
1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,RFC,MIDATL,GPU,PN,1687.326,True
1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,RFC,MIDATL,PE,PE,3832.608,True
1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,RFC,MIDATL,PEP,PEP,2986.402,True
1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,RFC,MIDATL,PL,PLCO,3818.053,True
1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,RFC,MIDATL,PL,UGI,107.340,True
1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,RFC,MIDATL,PS,PS,4100.328,True
1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,RFC,MIDATL,RECO,RECO,134.189,True
1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,RFC,WEST,AEP,AEP,13784.836,True
1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,RFC,WEST,AP,AP,5056.504,True
1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,RFC,WEST,ATSI,OE,5702.892,True
1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,RFC,WEST,ATSI,PAPWR,431.700,True
1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,RFC,WEST,CE,CE,9866.756,True
1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,RFC,WEST,DAY,DAY,1622.000,True
1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,RFC,WEST,DEOK,DEOK,2625.000,True
1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,RFC,WEST,DUQ,DUQ,1415.873,True
1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,RTO,RTO,RTO,RTO,76222.765,True
1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,SERC,SOUTH,DOM,DOM,9461.000,True
1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,RFC,MIDATL,BC,BC,3187.587,True
1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,RFC,MIDATL,CNCT,AE,969.946,True
1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,RFC,MIDATL,CNCT,DPL,1852.786,True
1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,RFC,MIDATL,GPU,JC,2020.526,True
1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,RFC,MIDATL,GPU,ME,1353.740,True
1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,RFC,MIDATL,GPU,PN,1647.590,True
1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,RFC,MIDATL,PE,PE,3768.230,True
1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,RFC,MIDATL,PEP,PEP,2975.413,True
1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,RFC,MIDATL,PL,PLCO,3754.085,True
1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,RFC,MIDATL,PL,UGI,105.053,True
1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,RFC,MIDATL,PS,PS,3994.266,True
1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,RFC,MIDATL,RECO,RECO,129.241,True
1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,RFC,WEST,AEP,AEP,13729.896,True
1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,RFC,WEST,AP,AP,4989.463,True
1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,RFC,WEST,ATSI,OE,5614.987,True
1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,RFC,WEST,ATSI,PAPWR,421.299,True
1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,RFC,WEST,CE,CE,9633.352,True
1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,RFC,WEST,DAY,DAY,1595.000,True
1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,RFC,WEST,DEOK,DEOK,2575.000,True
1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,RFC,WEST,DUQ,DUQ,1368.133,True
1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,RTO,RTO,RTO,RTO,75063.593,True
1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,SERC,SOUTH,DOM,DOM,9378.000,True
1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,RFC,MIDATL,BC,BC,3234.148,True
1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,RFC,MIDATL,CNCT,AE,962.300,True
1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,RFC,MIDATL,CNCT,DPL,1865.688,True
1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,RFC,MIDATL,GPU,JC,2012.181,True
1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,RFC,MIDATL,GPU,ME,1368.143,True
1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,RFC,MIDATL,GPU,PN,1660.141,True
1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,RFC,MIDATL,PE,PE,3767.950,True
1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,RFC,MIDATL,PEP,PEP,2972.678,True
1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,RFC,MIDATL,PL,PLCO,3775.096,True
1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,RFC,MIDATL,PL,UGI,105.104,True
1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,RFC,MIDATL,PS,PS,3970.496,True
1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,RFC,MIDATL,RECO,RECO,128.513,True
1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,RFC,WEST,AEP,AEP,13820.483,True
1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,RFC,WEST,AP,AP,5026.955,True
1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,RFC,WEST,ATSI,OE,5588.606,True
1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,RFC,WEST,ATSI,PAPWR,429.300,True
1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,RFC,WEST,CE,CE,9535.980,True
1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,RFC,WEST,DAY,DAY,1591.000,True
1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,RFC,WEST,DEOK,DEOK,2581.000,True
1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,RFC,WEST,DUQ,DUQ,1358.873,True
1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,RTO,RTO,RTO,RTO,75247.635,True
1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,SERC,SOUTH,DOM,DOM,9493.000,True
1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,RFC,MIDATL,BC,BC,3306.082,True
1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,RFC,MIDATL,CNCT,AE,971.690,True
1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,RFC,MIDATL,CNCT,DPL,1897.049,True
1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,RFC,MIDATL,GPU,JC,2117.382,True
1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,RFC,MIDATL,GPU,ME,1374.245,True
1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,RFC,MIDATL,GPU,PN,1674.633,True
1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,RFC,MIDATL,PE,PE,3863.576,True
1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,RFC,MIDATL,PEP,PEP,3095.228,True
1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,RFC,MIDATL,PL,PLCO,3850.433,True
1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,RFC,MIDATL,PL,UGI,106.940,True
1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,RFC,MIDATL,PS,PS,4016.191,True
1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,RFC,MIDATL,RECO,RECO,131.461,True
1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,RFC,WEST,AEP,AEP,13938.251,True
1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,RFC,WEST,AP,AP,5097.755,True
1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,RFC,WEST,ATSI,OE,5662.117,True
1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,RFC,WEST,ATSI,PAPWR,432.100,True
1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,RFC,WEST,CE,CE,9583.915,True
1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,RFC,WEST,DAY,DAY,1629.000,True
1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,RFC,WEST,DEOK,DEOK,2612.000,True
1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,RFC,WEST,DUQ,DUQ,1386.071,True
1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,RTO,RTO,RTO,RTO,76423.119,True
1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,SERC,SOUTH,DOM,DOM,9677.000,True
1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,RFC,MIDATL,BC,BC,3371.459,True
1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,RFC,MIDATL,CNCT,AE,991.599,True
1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,RFC,MIDATL,CNCT,DPL,1950.078,True
1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,RFC,MIDATL,GPU,JC,2111.863,True
1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,RFC,MIDATL,GPU,ME,1412.433,True
1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,RFC,MIDATL,GPU,PN,1721.362,True
1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,RFC,MIDATL,PE,PE,3950.286,True
1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,RFC,MIDATL,PEP,PEP,3144.966,True
1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,RFC,MIDATL,PL,PLCO,3967.157,True
1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,RFC,MIDATL,PL,UGI,110.367,True
1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,RFC,MIDATL,PS,PS,4091.389,True
1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,RFC,MIDATL,RECO,RECO,135.123,True
1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,RFC,WEST,AEP,AEP,14275.553,True
1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,RFC,WEST,AP,AP,5194.241,True
1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,RFC,WEST,ATSI,OE,5802.769,True
1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,RFC,WEST,ATSI,PAPWR,444.899,True
1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,RFC,WEST,CE,CE,9779.938,True
1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,RFC,WEST,DAY,DAY,1663.000,True
1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,RFC,WEST,DEOK,DEOK,2669.000,True
1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,RFC,WEST,DUQ,DUQ,1407.929,True
1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,RTO,RTO,RTO,RTO,78152.411,True
1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,SERC,SOUTH,DOM,DOM,9957.000,True
1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,RFC,MIDATL,BC,BC,3389.484,True
1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,RFC,MIDATL,CNCT,AE,995.640,True
1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,RFC,MIDATL,CNCT,DPL,1982.490,True
1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,RFC,MIDATL,GPU,JC,2149.440,True
1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,RFC,MIDATL,GPU,ME,1454.220,True
1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,RFC,MIDATL,GPU,PN,1772.817,True
1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,RFC,MIDATL,PE,PE,4006.503,True
1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,RFC,MIDATL,PEP,PEP,3166.767,True
1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,RFC,MIDATL,PL,PLCO,4100.337,True
1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,RFC,MIDATL,PL,UGI,114.351,True
1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,RFC,MIDATL,PS,PS,4091.753,True
1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,RFC,MIDATL,RECO,RECO,136.905,True
1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,RFC,WEST,AEP,AEP,14458.665,True
1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,RFC,WEST,AP,AP,5283.900,True
1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,RFC,WEST,ATSI,OE,5951.529,True
1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,RFC,WEST,ATSI,PAPWR,457.800,True
1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,RFC,WEST,CE,CE,10059.184,True
1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,RFC,WEST,DAY,DAY,1707.000,True
1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,RFC,WEST,DEOK,DEOK,2705.000,True
1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,RFC,WEST,DUQ,DUQ,1426.098,True
1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,RTO,RTO,RTO,RTO,79545.883,True
1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,SERC,SOUTH,DOM,DOM,10136.000,True
1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,RFC,MIDATL,BC,BC,3396.889,True
1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,RFC,MIDATL,CNCT,AE,1022.923,True
1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,RFC,MIDATL,CNCT,DPL,2048.035,True
1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,RFC,MIDATL,GPU,JC,2224.219,True
1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,RFC,MIDATL,GPU,ME,1502.575,True
1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,RFC,MIDATL,GPU,PN,1824.742,True
1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,RFC,MIDATL,PE,PE,4083.703,True
1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,RFC,MIDATL,PEP,PEP,3222.534,True
1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,RFC,MIDATL,PL,PLCO,4249.109,True
1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,RFC,MIDATL,PL,UGI,120.158,True
1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,RFC,MIDATL,PS,PS,4118.956,True
1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,RFC,MIDATL,RECO,RECO,140.561,True
1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,RFC,WEST,AEP,AEP,14504.317,True
1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,RFC,WEST,AP,AP,5384.460,True
1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,RFC,WEST,ATSI,OE,6002.393,True
1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,RFC,WEST,ATSI,PAPWR,471.800,True
1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,RFC,WEST,CE,CE,10047.544,True
1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,RFC,WEST,DAY,DAY,1723.000,True
1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,RFC,WEST,DEOK,DEOK,2728.000,True
1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,RFC,WEST,DUQ,DUQ,1453.315,True
1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,RTO,RTO,RTO,RTO,80703.233,True
1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,SERC,SOUTH,DOM,DOM,10434.000,True
1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,RFC,MIDATL,BC,BC,3554.204,True
1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,RFC,MIDATL,CNCT,AE,1071.584,True
1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,RFC,MIDATL,CNCT,DPL,2134.354,True
1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,RFC,MIDATL,GPU,JC,2347.798,True
1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,RFC,MIDATL,GPU,ME,1596.300,True
1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,RFC,MIDATL,GPU,PN,1927.325,True
1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,RFC,MIDATL,PE,PE,4296.866,True
1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,RFC,MIDATL,PEP,PEP,3304.970,True
1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,RFC,MIDATL,PL,PLCO,4484.875,True
1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,RFC,MIDATL,PL,UGI,130.051,True
1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,RFC,MIDATL,PS,PS,4280.048,True
1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,RFC,MIDATL,RECO,RECO,148.044,True
1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,RFC,WEST,AEP,AEP,14853.084,True
1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,RFC,WEST,AP,AP,5592.566,True
1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,RFC,WEST,ATSI,OE,6238.420,True
1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,RFC,WEST,ATSI,PAPWR,489.299,True
1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,RFC,WEST,CE,CE,9984.110,True
1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,RFC,WEST,DAY,DAY,1805.000,True
1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,RFC,WEST,DEOK,DEOK,2810.000,True
1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,RFC,WEST,DUQ,DUQ,1506.459,True
1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,RTO,RTO,RTO,RTO,83419.357,True
1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,SERC,SOUTH,DOM,DOM,10864.000,True
1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,RFC,MIDATL,BC,BC,3684.220,True
1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,RFC,MIDATL,CNCT,AE,1121.290,True
1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,RFC,MIDATL,CNCT,DPL,2211.525,True
1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,RFC,MIDATL,GPU,JC,2472.488,True
1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,RFC,MIDATL,GPU,ME,1662.685,True
1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,RFC,MIDATL,GPU,PN,2025.102,True
1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,RFC,MIDATL,PE,PE,4497.028,True
1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,RFC,MIDATL,PEP,PEP,3416.672,True
1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,RFC,MIDATL,PL,PLCO,4692.201,True
1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,RFC,MIDATL,PL,UGI,138.634,True
1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,RFC,MIDATL,PS,PS,4451.784,True
1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,RFC,MIDATL,RECO,RECO,156.716,True
1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,RFC,WEST,AEP,AEP,15261.267,True
1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,RFC,WEST,AP,AP,5771.809,True
1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,RFC,WEST,ATSI,OE,6482.146,True
1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,RFC,WEST,ATSI,PAPWR,521.400,True
1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,RFC,WEST,CE,CE,10104.607,True
1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,RFC,WEST,DAY,DAY,1882.000,True
1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,RFC,WEST,DEOK,DEOK,2933.000,True
1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,RFC,WEST,DUQ,DUQ,1554.660,True
1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,RTO,RTO,RTO,RTO,86214.234,True
1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,SERC,SOUTH,DOM,DOM,11173.000,True
1/1/2013 4:00:00 PM,1/1/2013 11:00:00 AM,RFC,MIDATL,BC,BC,3778.328,True
